# s W_0 W_1 W_2 W_3 W_4
0.100000 1.000000 0.000075 -0.000000 -0.000000 0.000000
0.101158 1.000000 0.000076 -0.000000 -0.000000 0.000000
0.102329 1.000000 0.000077 -0.000000 -0.000000 0.000000
0.103514 1.000000 0.000078 -0.000000 -0.000000 0.000000
0.104713 0.999999 0.000078 -0.000000 -0.000000 0.000000
0.105925 0.999999 0.000079 -0.000000 -0.000000 0.000000
0.107152 0.999999 0.000080 -0.000000 -0.000000 0.000000
0.108393 0.999999 0.000081 -0.000000 -0.000000 0.000000
0.109648 0.999999 0.000082 -0.000000 -0.000000 0.000000
0.110917 0.999999 0.000083 -0.000000 -0.000000 0.000000
0.112202 0.999999 0.000084 -0.000000 -0.000000 0.000000
0.113501 0.999999 0.000085 -0.000000 -0.000000 0.000000
0.114815 0.999999 0.000086 -0.000000 -0.000000 0.000000
0.116145 0.999999 0.000087 -0.000000 -0.000000 0.000000
0.117490 0.999999 0.000088 -0.000000 -0.000000 0.000000
0.118850 0.999999 0.000089 -0.000000 -0.000000 0.000000
0.120226 0.999999 0.000090 -0.000000 -0.000000 0.000000
0.121619 0.999999 0.000091 -0.000000 -0.000000 0.000000
0.123027 0.999999 0.000092 -0.000000 -0.000000 0.000000
0.124451 0.999999 0.000093 -0.000000 -0.000000 0.000000
0.125893 0.999999 0.000094 -0.000000 -0.000000 0.000000
0.127350 0.999999 0.000095 -0.000000 -0.000000 0.000000
0.128825 0.999999 0.000097 -0.000000 -0.000000 0.000000
0.130317 0.999999 0.000098 -0.000000 -0.000000 0.000000
0.131826 0.999999 0.000099 -0.000000 -0.000000 0.000000
0.133352 0.999999 0.000100 -0.000000 -0.000000 0.000000
0.134896 0.999999 0.000101 -0.000000 -0.000000 0.000000
0.136458 0.999999 0.000102 -0.000000 -0.000000 0.000000
0.138038 0.999998 0.000103 -0.000000 -0.000000 0.000000
0.139637 0.999998 0.000105 -0.000000 -0.000000 0.000000
0.141254 0.999998 0.000106 -0.000000 -0.000000 0.000000
0.142889 0.999998 0.000107 -0.000000 -0.000000 0.000000
0.144544 0.999998 0.000108 -0.000000 -0.000000 0.000000
0.146218 0.999998 0.000110 -0.000000 -0.000000 0.000000
0.147911 0.999998 0.000111 -0.000000 -0.000000 0.000000
0.149624 0.999998 0.000112 -0.000000 -0.000000 0.000000
0.151356 0.999998 0.000113 -0.000000 -0.000000 0.000000
0.153109 0.999998 0.000115 -0.000000 -0.000000 0.000000
0.154882 0.999998 0.000116 -0.000000 -0.000000 0.000000
0.156675 0.999998 0.000117 -0.000000 -0.000000 0.000000
0.158489 0.999998 0.000119 -0.000000 -0.000000 0.000000
0.160325 0.999998 0.000120 -0.000000 -0.000000 0.000000
0.162181 0.999998 0.000122 -0.000000 -0.000000 0.000000
0.164059 0.999996 0.000123 -0.000000 -0.000000 0.000000
0.165959 0.999996 0.000124 -0.000000 -0.000000 0.000000
0.167880 0.999996 0.000126 -0.000000 -0.000000 0.000000
0.169824 0.999996 0.000127 -0.000000 -0.000000 0.000000
0.171791 0.999996 0.000129 -0.000000 -0.000000 0.000000
0.173780 0.999996 0.000130 -0.000000 -0.000000 0.000000
0.175792 0.999996 0.000132 -0.000000 -0.000000 0.000000
0.177828 0.999996 0.000133 -0.000000 -0.000000 0.000000
0.179887 0.999996 0.000135 -0.000000 -0.000000 0.000000
0.181970 0.999996 0.000136 -0.000000 -0.000000 0.000000
0.184077 0.999996 0.000138 -0.000000 -0.000000 0.000000
0.186209 0.999996 0.000140 -0.000000 -0.000000 0.000000
0.188365 0.999995 0.000141 -0.000000 -0.000000 0.000000
0.190546 0.999995 0.000143 -0.000000 -0.000000 0.000000
0.192752 0.999995 0.000144 -0.000000 -0.000000 0.000000
0.194984 0.999995 0.000146 -0.000000 -0.000000 0.000000
0.197242 0.999995 0.000148 -0.000000 -0.000000 0.000000
0.199526 0.999995 0.000150 -0.000000 -0.000000 0.000000
0.201837 0.999995 0.000151 -0.000000 -0.000000 0.000000
0.204174 0.999995 0.000153 -0.000000 -0.000000 0.000000
0.206538 0.999995 0.000155 -0.000000 -0.000000 0.000000
0.208930 0.999994 0.000157 -0.000000 -0.000000 0.000000
0.211349 0.999994 0.000158 -0.000000 -0.000000 0.000000
0.213796 0.999994 0.000160 -0.000000 -0.000000 0.000000
0.216272 0.999994 0.000162 -0.000000 -0.000000 0.000000
0.218776 0.999994 0.000164 -0.000000 -0.000000 0.000000
0.221309 0.999994 0.000166 -0.000000 -0.000000 0.000000
0.223872 0.999994 0.000168 -0.000000 -0.000000 0.000000
0.226464 0.999993 0.000170 -0.000000 -0.000000 0.000000
0.229087 0.999993 0.000172 -0.000000 -0.000000 0.000000
0.231739 0.999993 0.000174 -0.000000 -0.000000 0.000000
0.234423 0.999993 0.000176 -0.000000 -0.000000 0.000000
0.237137 0.999993 0.000178 -0.000000 -0.000000 0.000000
0.239883 0.999993 0.000180 -0.000000 -0.000000 0.000000
0.242661 0.999991 0.000182 -0.000000 -0.000000 0.000000
0.245471 0.999991 0.000184 -0.000000 -0.000000 0.000000
0.248313 0.999991 0.000186 -0.000000 -0.000000 0.000000
0.251189 0.999991 0.000188 -0.000000 -0.000000 0.000000
0.254097 0.999991 0.000190 -0.000000 -0.000000 0.000000
0.257040 0.999991 0.000193 -0.000000 -0.000000 0.000000
0.260016 0.999990 0.000195 -0.000000 -0.000000 0.000000
0.263027 0.999990 0.000197 -0.000001 -0.000000 0.000000
0.266073 0.999990 0.000199 -0.000001 -0.000000 0.000000
0.269153 0.999990 0.000202 -0.000001 -0.000000 0.000000
0.272270 0.999990 0.000204 -0.000001 -0.000000 0.000000
0.275423 0.999989 0.000206 -0.000001 -0.000000 0.000000
0.278612 0.999989 0.000209 -0.000001 -0.000000 0.000000
0.281838 0.999989 0.000211 -0.000001 -0.000000 0.000000
0.285102 0.999989 0.000214 -0.000001 -0.000000 0.000000
0.288403 0.999988 0.000216 -0.000001 -0.000000 0.000000
0.291743 0.999988 0.000219 -0.000001 -0.000000 0.000000
0.295121 0.999988 0.000221 -0.000001 -0.000000 0.000000
0.298538 0.999988 0.000224 -0.000001 -0.000000 0.000000
0.301995 0.999986 0.000226 -0.000001 -0.000000 0.000000
0.305492 0.999986 0.000229 -0.000001 -0.000000 0.000000
0.309030 0.999986 0.000232 -0.000001 -0.000000 0.000000
0.312608 0.999986 0.000234 -0.000001 -0.000000 0.000000
0.316228 0.999985 0.000237 -0.000001 -0.000000 0.000000
0.319890 0.999985 0.000240 -0.000001 -0.000000 0.000000
0.323594 0.999985 0.000243 -0.000001 -0.000000 0.000000
0.327341 0.999984 0.000245 -0.000001 -0.000000 0.000000
0.331131 0.999984 0.000248 -0.000001 -0.000000 0.000000
0.334965 0.999984 0.000251 -0.000001 -0.000000 0.000000
0.338844 0.999983 0.000254 -0.000001 -0.000000 0.000000
0.342768 0.999983 0.000257 -0.000001 -0.000000 0.000000
0.346737 0.999983 0.000260 -0.000001 -0.000000 0.000000
0.350752 0.999982 0.000263 -0.000001 -0.000000 0.000000
0.354813 0.999982 0.000266 -0.000001 -0.000000 0.000000
0.358922 0.999982 0.000269 -0.000001 -0.000000 0.000000
0.363078 0.999980 0.000272 -0.000001 -0.000000 0.000000
0.367282 0.999980 0.000275 -0.000001 -0.000000 0.000000
0.371535 0.999980 0.000279 -0.000001 -0.000000 0.000000
0.375837 0.999979 0.000282 -0.000001 -0.000000 0.000000
0.380189 0.999979 0.000285 -0.000001 -0.000000 0.000000
0.384592 0.999978 0.000288 -0.000001 -0.000000 0.000000
0.389045 0.999978 0.000292 -0.000001 -0.000000 0.000000
0.393550 0.999977 0.000295 -0.000001 -0.000000 0.000000
0.398107 0.999977 0.000298 -0.000001 -0.000000 0.000000
0.402717 0.999975 0.000302 -0.000001 -0.000000 0.000000
0.407380 0.999975 0.000305 -0.000001 -0.000000 0.000000
0.412098 0.999975 0.000309 -0.000001 -0.000000 0.000000
0.416869 0.999974 0.000313 -0.000001 -0.000000 0.000000
0.421697 0.999974 0.000316 -0.000001 -0.000000 0.000000
0.426580 0.999973 0.000320 -0.000001 -0.000000 0.000000
0.431519 0.999972 0.000323 -0.000001 -0.000000 0.000000
0.436516 0.999972 0.000327 -0.000001 -0.000000 0.000000
0.441570 0.999970 0.000331 -0.000001 -0.000000 0.000000
0.446684 0.999970 0.000335 -0.000001 -0.000000 0.000000
0.451856 0.999969 0.000339 -0.000001 -0.000000 0.000000
0.457088 0.999969 0.000343 -0.000002 -0.000000 0.000000
0.462381 0.999968 0.000347 -0.000002 -0.000000 0.000000
0.467735 0.999967 0.000351 -0.000002 -0.000000 0.000000
0.473151 0.999967 0.000355 -0.000002 -0.000000 0.000000
0.478630 0.999966 0.000359 -0.000002 -0.000000 0.000000
0.484172 0.999964 0.000363 -0.000002 -0.000000 0.000000
0.489779 0.999964 0.000367 -0.000002 -0.000000 0.000000
0.495450 0.999963 0.000371 -0.000002 -0.000000 0.000000
0.501187 0.999962 0.000376 -0.000002 -0.000000 0.000000
0.506991 0.999962 0.000380 -0.000002 -0.000000 0.000000
0.512861 0.999961 0.000384 -0.000002 -0.000000 0.000000
0.518800 0.999959 0.000389 -0.000002 -0.000000 0.000000
0.524807 0.999958 0.000393 -0.000002 -0.000000 0.000000
0.530884 0.999957 0.000398 -0.000002 -0.000000 0.000000
0.537032 0.999957 0.000403 -0.000002 -0.000000 0.000000
0.543250 0.999956 0.000407 -0.000002 -0.000000 0.000000
0.549541 0.999954 0.000412 -0.000002 -0.000000 0.000000
0.555904 0.999953 0.000417 -0.000002 -0.000000 0.000000
0.562341 0.999952 0.000422 -0.000002 -0.000000 0.000000
0.568853 0.999951 0.000426 -0.000002 -0.000000 0.000000
0.575440 0.999949 0.000431 -0.000002 -0.000000 0.000000
0.582103 0.999948 0.000436 -0.000002 -0.000000 0.000000
0.588844 0.999947 0.000441 -0.000003 -0.000000 0.000000
0.595662 0.999946 0.000447 -0.000003 -0.000000 0.000000
0.602560 0.999945 0.000452 -0.000003 -0.000000 0.000000
0.609537 0.999943 0.000457 -0.000003 -0.000000 0.000000
0.616595 0.999942 0.000462 -0.000003 -0.000000 0.000000
0.623735 0.999941 0.000468 -0.000003 -0.000000 0.000000
0.630957 0.999940 0.000473 -0.000003 -0.000000 0.000000
0.638263 0.999938 0.000478 -0.000003 -0.000000 0.000000
0.645654 0.999937 0.000484 -0.000003 -0.000000 0.000000
0.653131 0.999935 0.000490 -0.000003 -0.000000 0.000000
0.660693 0.999933 0.000495 -0.000003 -0.000000 0.000000
0.668344 0.999932 0.000501 -0.000003 -0.000000 0.000000
0.676083 0.999930 0.000507 -0.000003 -0.000000 0.000000
0.683912 0.999929 0.000513 -0.000003 -0.000000 0.000000
0.691831 0.999927 0.000519 -0.000003 -0.000000 0.000000
0.699842 0.999925 0.000525 -0.000004 -0.000000 0.000000
0.707946 0.999924 0.000531 -0.000004 -0.000000 0.000000
0.716143 0.999921 0.000537 -0.000004 -0.000000 0.000000
0.724436 0.999920 0.000543 -0.000004 -0.000000 0.000000
0.732825 0.999917 0.000549 -0.000004 -0.000000 0.000000
0.741310 0.999916 0.000556 -0.000004 -0.000000 0.000000
0.749894 0.999914 0.000562 -0.000004 -0.000000 0.000000
