# s W_0 W_1 W_2 W_3 W_4 W_5 W_6 W_7 W_8
0.101165 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.103521 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.105932 10.253240 0.001405 -8.109003 0.000686 -23.288108 -0.088892 369.672000 0.132064 -194.279000
0.108400 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.110925 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.113509 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.116153 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.118858 4.761597 0.000655 -11.903968 -0.002292 16.070338 0.037674 -161.858000 -0.059935 185.202000
0.121627 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.124460 4.187882 0.000102 15.612012 0.001122 10.470524 0.022546 -78.228100 0.021249 -237.502000
0.127359 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.130325 5.452731 0.000051 25.518669 0.000676 38.995490 0.020088 352.234000 0.043875 278.424000
0.133361 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.136467 7.121994 0.001014 -2.523686 0.001528 -21.777365 -0.075036 225.952000 0.058519 28.228700
0.139646 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.142899 6.102156 0.000929 -3.063340 0.001080 -17.217767 -0.066241 206.769000 0.067098 -24.002700
0.146227 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.149633 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.153119 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.156685 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.160335 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.164070 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.167892 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.171802 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.175804 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.179899 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.184089 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.188377 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.192765 1.981403 0.000550 -3.983781 -0.001297 2.655663 0.005564 7.741290 0.018331 -46.093800
0.197255 1.717976 0.000438 -0.865225 0.000507 -4.842649 -0.031217 58.247200 0.031701 -6.906810
0.201850 1.700241 0.000284 0.029528 0.000675 -5.980027 -0.021801 40.344600 0.003997 38.295100
0.206552 1.079585 0.000179 -0.175311 0.000349 -3.583310 -0.013604 30.239600 0.006474 15.024200
0.211363 2.225983 0.000228 6.134436 0.001361 1.924002 -0.003722 31.184800 -0.026119 99.796600
0.216286 5.218142 0.001002 1.836281 0.000943 1.539868 0.050553 -171.866000 -0.083485 30.795300
0.221324 1.605468 0.000595 -3.621064 -0.001666 3.752932 0.016532 -22.487300 -0.006305 7.100850
0.226479 1.982335 0.000266 3.166980 0.001613 -6.563434 -0.005825 -53.740500 -0.044016 65.180800
0.231755 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.237153 0.925883 0.000378 -0.953329 -0.000026 -1.600150 -0.020402 32.849600 0.039286 -27.444200
0.242677 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.248330 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.254114 2.474447 0.000402 2.968950 0.001213 -2.361641 0.002205 -27.201900 0.008573 -62.235200
0.260033 1.912923 0.000602 -2.816465 -0.000969 0.219327 0.000487 10.002400 0.002461 3.705440
0.266090 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.272288 1.350084 0.000323 -0.811848 0.000300 -3.571705 -0.022261 47.191300 0.026083 -12.456600
0.278631 3.147464 0.000637 3.849091 0.001466 -0.702578 0.003822 -28.579500 0.027075 -85.440200
0.285121 1.342639 0.000393 -0.948000 -0.000136 -1.368310 -0.008171 11.441600 0.018366 -22.351300
0.291762 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
0.298558 0.307571 0.000095 -0.553004 -0.000176 0.172508 -0.000688 4.721320 0.006322 -10.794000
0.305512 0.675489 0.000225 -1.313753 -0.000519 0.865319 0.003185 -0.549766 0.000457 -2.633250
0.312629 0.971892 0.000352 -0.789063 0.000068 -0.440085 -0.001678 -10.895100 -0.022965 26.541800
0.319911 0.733177 0.000121 2.017520 0.001014 -0.488087 0.009381 -26.982800 -0.009568 -18.238200
0.327362 0.456121 0.000165 -0.702195 -0.000207 -0.137513 -0.004253 11.677900 0.015300 -18.351300
0.334988 1.589274 0.000562 0.608879 0.000713 -1.710208 -0.021358 26.416100 0.008164 12.182000
0.342791 0.453522 0.000178 -1.036479 -0.000535 1.109407 0.006359 -7.039410 -0.005201 2.543880
0.350775 1.097111 0.000496 -1.396323 -0.000542 -0.807878 -0.008772 20.658600 0.017019 -10.429700
0.358946 0.788864 0.000441 -0.847829 -0.000009 -0.311466 -0.007828 -3.843610 -0.018445 26.155500
0.367307 0.947546 0.000254 1.202356 0.000020 2.197265 0.020689 -22.142700 -0.000231 -26.908900
0.375862 2.076008 0.000613 1.543454 0.000133 1.557413 -0.004167 34.851000 0.028884 -1.997190
0.384617 0.607493 0.000346 -0.276854 0.000124 -1.038844 -0.007930 1.770970 -0.008622 13.597900
0.393576 2.018093 0.000666 0.515872 0.001510 -4.964467 -0.026762 6.464000 -0.026884 46.814500
0.402744 0.765850 0.000263 0.169416 0.000420 -1.884838 -0.006904 -3.389330 -0.012988 20.676600
0.412125 0.648648 0.000188 0.399472 0.000066 0.435979 0.006657 -11.447800 -0.002760 -10.450900
0.421724 1.369206 0.000492 -0.034389 0.000631 -2.430479 -0.013453 1.110720 -0.000886 2.170790
0.431548 0.832794 0.000384 0.186356 0.000220 0.071079 0.006184 -10.150300 0.006819 -17.666900
0.441600 1.038679 0.000462 0.369331 0.000324 -1.422903 -0.003554 -7.501450 0.003722 -12.850600
0.451886 0.971016 0.000443 0.117322 -0.000583 1.316310 0.006728 11.015000 -0.018519 35.120800
0.462412 0.732656 0.000370 -0.214596 0.000069 -0.107674 -0.005515 2.951810 0.007455 -4.304660
0.473183 1.052873 0.000551 -0.469398 -0.000003 0.108175 0.002846 -6.355330 0.004633 -13.938900
0.484204 1.742799 0.000810 0.013260 0.000336 -0.935248 0.002895 -12.935000 -0.010516 -10.327100
0.495483 0.707475 0.000259 0.698923 0.000028 1.554891 0.015576 -5.223250 0.003726 -8.245560
0.507024 0.757788 0.000488 0.044287 -0.000584 1.313107 0.008308 4.332130 0.002397 -1.814940
0.518834 0.783230 0.000524 -1.046763 -0.000791 0.557235 0.006511 -7.816230 -0.009415 4.464650
0.530920 0.827414 0.000513 0.015354 0.000449 -0.879925 -0.022634 21.093800 0.022128 2.546580
0.543286 1.123480 0.000588 -0.043843 0.000550 -1.292133 -0.007650 -4.088190 -0.006310 0.061756
0.555941 1.901319 0.000996 0.417698 0.000982 -2.102098 -0.029487 25.815800 0.030881 -3.397070
0.568891 0.933578 0.000542 0.362982 0.000349 -0.125372 0.004839 -7.629040 -0.008632 -1.688150
0.582142 0.748158 0.000328 0.567771 0.000338 0.493386 0.001885 4.855150 -0.002534 7.626390
0.595702 1.442526 0.000837 -0.019136 0.000120 -0.798934 0.004138 -9.045650 -0.016518 5.897710
0.609577 0.945434 0.000538 0.025199 0.000886 -1.634665 -0.013683 -1.145420 -0.011046 6.319260
0.623776 1.426189 0.000905 0.035216 0.000512 -1.160555 -0.010560 0.466563 0.004803 -6.504100
0.638306 1.275461 0.000961 -1.315916 -0.001202 0.450654 0.002364 1.130330 0.012958 -11.146000
0.653174 1.202751 0.000884 -0.292307 -0.000090 -0.710811 -0.014665 14.029500 0.012020 7.064950
