# k P_0(k) sigma_{P_0} P_1(k) sigma_{P_1} P_2(k) sigma_{P_2} P_3(k) sigma_{P_3} P_4(k) sigma_{P_4}
0.003620 52136.551441 30308.163580 -5561.005309 13787.329843 1543.193870 20768.564692 -7972.608386 20934.867109 15801.740244 20224.715192 
0.007992 63453.447814 14176.469427 -1239.052030 5837.711004 11937.991161 25877.859331 182.522291 19996.101771 121.851234 14261.065877 
0.012792 69124.926325 9527.907889 566.329469 3746.555780 17516.273180 19899.329785 558.467077 12222.619967 -2414.519040 17239.568435 
0.017725 69217.744594 6983.287324 1332.454233 2569.240341 21574.204761 14423.604984 1588.844473 8292.157807 -2026.856266 15514.766739 
0.022680 65165.322589 5322.060166 1712.630689 1915.933957 21991.704333 11169.595388 2089.268860 5800.443059 -824.851856 13061.786736 
0.027639 58790.227742 4014.490028 1835.916174 1413.137360 21044.394058 8501.147867 1557.363055 4259.017718 -225.469496 9851.136986 
0.032631 52128.236868 2972.957731 1656.018715 1066.705995 19478.653396 6753.564993 1439.376200 3204.749862 284.955342 7803.679059 
0.037604 46214.387157 2237.105102 1345.819238 829.402310 17649.466816 5132.187584 1267.342296 2403.864967 302.252238 6215.885162 
0.042591 41211.622710 1848.120207 1146.028797 639.642477 15903.570915 4096.510582 995.563844 1868.495991 717.376363 4976.557145 
0.047578 37174.771310 1470.881379 893.220280 524.517095 14437.394427 3368.172007 812.058373 1565.768609 644.297434 4027.430816 
0.052578 34198.487338 1229.875999 676.556152 446.382654 13156.568851 2772.530153 710.820898 1287.021178 600.444830 3375.273406 
0.057574 31981.398874 1076.716712 555.747434 394.001160 12212.741327 2352.080546 593.810226 1064.518670 760.251874 3012.776821 
0.062574 30045.463452 906.181299 519.205368 324.892721 11273.792121 2041.195985 538.276587 922.401419 652.866706 2592.705441 
0.067563 28136.712814 776.467630 529.035747 279.572770 10437.818462 1787.456328 443.333758 816.350862 693.256555 2250.439253 
0.072561 26195.164665 683.670620 506.762580 245.985536 9681.352835 1578.930873 412.821685 710.710733 701.127914 1921.750130 
0.077555 24218.212741 601.853855 513.226023 220.227578 8900.933526 1356.323241 339.349918 622.643755 618.749806 1700.396765 
0.082550 22215.445100 530.897275 498.119956 191.806510 8168.935756 1205.959037 289.397153 529.799867 563.982383 1504.175801 
0.087553 20277.516289 462.256323 461.638702 160.797558 7494.023104 1060.135808 269.372653 488.554328 505.038364 1303.254680 
0.092543 18558.214766 404.389561 411.882367 140.818838 6892.846254 941.866716 226.494453 420.526793 486.689255 1157.720526 
0.097541 17098.346772 356.516048 351.632006 128.362254 6387.996446 836.976999 204.585923 370.607923 473.775084 1011.379088 
0.102539 15901.570925 324.990511 302.896234 114.325818 5936.706978 741.286191 178.945788 334.624869 468.523498 903.785018 
0.107539 14948.314876 289.816131 242.076176 104.647315 5576.744348 660.705226 177.260539 299.327284 480.666145 816.363926 
0.112544 14203.647640 265.845340 217.742441 96.769694 5202.922001 594.051284 162.823257 279.694209 482.556908 740.144092 
0.117543 13556.933245 250.516517 200.229204 87.128823 4868.733372 553.408653 152.628420 242.948886 497.805622 682.931457 
0.122538 12978.525563 226.927073 190.177579 77.902530 4567.075070 498.832459 136.247410 226.093151 514.307864 630.698609 
0.127538 12403.510478 209.036694 194.203973 72.971403 4291.677796 475.066791 112.781638 218.379185 478.133194 564.545760 
0.132535 11824.249553 194.753297 190.171358 68.815253 4046.041910 438.454463 98.781875 198.524543 457.178054 534.169534 
0.137535 11241.931273 180.191660 195.729786 63.330289 3818.972876 404.908875 95.265918 183.217612 421.342340 510.931977 
0.142530 10646.656703 163.902962 188.500360 59.337549 3609.752762 379.696713 82.802619 170.316177 406.682499 463.177160 
0.147525 10083.386438 156.972987 184.069443 54.537556 3417.949776 348.887720 74.464538 158.094653 396.915330 430.743706 
0.152529 9553.956670 144.500786 173.494998 50.137900 3260.920362 318.223847 64.385460 145.150356 384.399893 395.198746 
0.157534 9072.604043 131.296546 160.585210 47.595967 3105.872268 298.251042 64.572578 135.267329 366.711504 367.202559 
0.162527 8664.844459 123.943425 145.999609 44.371037 2945.303631 279.996528 64.821034 129.020663 358.012345 341.755175 
0.167526 8297.850892 118.798402 141.421482 41.433359 2797.487055 268.694323 57.821336 118.939418 344.242913 327.480409 
0.172519 7976.003511 109.084046 126.472584 39.700071 2647.447566 249.007320 63.127638 113.580067 339.266181 302.683814 
0.177524 7686.307241 103.720610 127.363144 36.795741 2502.587115 241.362663 49.600188 108.285976 332.812491 280.439785 
