# k P_0(k) sigma_{P_0} P_1(k) sigma_{P_1} P_2(k) sigma_{P_2} P_3(k) sigma_{P_3} P_4(k) sigma_{P_4}
0.003620 46234.364367 29688.963135 -16320.502354 11381.630983 -11192.271957 22299.426635 -9963.036859 18990.188219 2028.180315 9213.798861 
0.007992 67764.263379 22763.671172 -1013.210320 7506.090112 -4758.857956 33449.312251 -8284.395022 21096.528022 898.358239 18943.625527 
0.012792 69155.643015 14299.627537 734.404834 4738.216076 9452.545920 27216.168152 -2939.568016 14210.832002 -526.517030 24336.654217 
0.017725 68402.487684 9976.481555 1312.879049 3211.709164 17187.353217 22201.061524 780.450065 10547.933643 -1292.681371 22424.407395 
0.022680 64217.248556 7702.104694 1660.063104 2189.307212 18635.706929 17345.891095 1567.320148 7359.615294 -589.111709 18185.172271 
0.027639 58030.599519 5594.290286 1765.430258 1696.081447 18924.410484 13395.282941 1575.115814 5551.861683 56.567977 15222.714837 
0.032631 51840.386672 4266.052786 1512.103174 1265.377131 17921.225504 10183.044736 1459.398050 3988.559083 -153.314737 11881.992574 
0.037604 46212.806303 3257.097403 1352.829344 985.556386 16158.418979 7508.831629 1251.692400 3122.484396 -12.332381 9651.436134 
0.042591 41249.077096 2619.888768 1129.279411 769.388413 14672.249414 6135.840027 1095.364512 2409.085822 -147.754872 7674.420638 
0.047578 37244.522829 2124.063406 879.042374 617.566888 13254.717927 4986.016116 934.133417 1931.586556 131.665897 5953.495126 
0.052578 34301.070390 1737.563272 681.645068 511.339746 12293.323133 4264.139508 720.704397 1593.962855 447.293976 5209.773515 
0.057574 32132.009900 1583.050232 558.729683 455.058488 11592.855879 3715.751750 627.255293 1364.396913 358.873262 4561.423701 
0.062574 30180.646815 1341.837625 532.364898 389.843730 10842.986073 3179.708939 615.301840 1222.000598 426.526936 3928.894422 
0.067563 28218.429411 1205.002948 540.872226 337.552872 10121.857612 2897.566706 525.331547 1008.484140 511.831594 3457.757838 
0.072561 26257.889261 1085.695651 499.078884 297.258064 9305.962496 2456.774703 506.798755 890.237205 471.804702 2945.437746 
0.077555 24310.592601 896.418576 514.411258 263.333749 8586.158101 2128.933515 399.623354 797.639749 486.078286 2666.205611 
0.082550 22330.913387 797.672369 493.404680 229.222270 7880.770786 1842.259110 385.831865 660.379606 390.396325 2271.268886 
0.087553 20447.487350 704.674914 457.326334 198.780570 7223.152103 1609.326274 340.745891 583.244608 410.167789 1997.090473 
0.092543 18741.522648 600.731881 411.341748 173.323509 6610.705872 1418.577438 284.434615 528.043458 376.711099 1755.230801 
0.097541 17291.104736 551.967550 352.548236 149.710041 6156.619249 1262.581433 260.207313 462.501517 404.891218 1556.741145 
0.102539 16096.213720 500.213028 302.184256 138.202690 5718.839358 1128.965068 238.999839 405.261021 424.452983 1386.784166 
0.107539 15131.247771 429.701023 248.964350 128.841985 5321.887469 1014.955758 209.052292 377.672517 416.760081 1280.030261 
0.112544 14370.731236 402.305866 227.530636 117.477108 5010.568276 955.372245 184.023250 341.814419 446.051196 1169.465012 
0.117543 13697.718520 373.156913 204.483719 104.692694 4709.812703 838.879529 173.627915 320.186950 403.625338 1055.968958 
0.122538 13108.498529 335.223414 196.840759 98.317136 4459.003467 769.104861 155.171691 298.617718 409.734134 995.966179 
0.127538 12520.292354 313.711357 195.934498 91.409416 4204.679387 745.335859 158.301734 264.941706 433.642842 939.087147 
0.132535 11933.455191 293.509331 197.186984 84.623293 3954.535230 693.553030 123.303726 248.555624 425.696127 888.722304 
0.137535 11343.661029 268.499352 194.261651 80.097711 3744.289401 656.998105 132.953760 234.764119 410.555718 790.741708 
0.142530 10754.444793 257.933281 191.520737 70.953277 3520.549436 572.055192 107.661371 222.186130 390.253159 711.970303 
0.147525 10199.171126 233.903149 184.744994 67.350778 3383.268424 533.466137 95.183251 195.316553 395.519047 663.180743 
0.152529 9666.596990 224.147387 174.909335 62.191366 3206.331678 497.759355 99.031003 185.933476 377.801957 612.779550 
0.157534 9191.427785 205.050157 161.626090 59.106407 3044.253670 462.286026 93.576147 170.151065 368.499366 553.833815 
0.162527 8773.317314 193.100088 150.354418 56.041242 2876.055790 431.229101 85.576240 160.548053 345.910663 530.543078 
0.167526 8398.604060 183.146893 142.774509 51.527187 2741.638678 409.865349 77.478295 154.336433 351.517682 497.330687 
0.172519 8067.685505 170.742598 133.462832 48.657752 2594.974296 384.517394 80.023864 140.175073 345.920234 471.476389 
0.177524 7769.709980 162.361167 126.332818 44.563134 2462.997781 368.926486 72.464534 132.145129 336.939893 442.310139 
0.182522 7502.193271 151.298138 123.965548 44.027288 2325.554849 345.378886 69.866068 128.360571 328.840322 422.630296 
0.187521 7235.172298 143.188534 122.917453 42.370435 2190.333457 309.392332 64.981359 120.883835 313.709740 403.179961 
0.192521 6981.330260 133.557744 119.726768 39.634682 2068.439460 296.610656 59.072878 110.358949 309.468716 381.361517 
0.197518 6735.770569 131.420123 120.067833 37.663887 1960.444108 289.974517 51.611471 108.467538 287.197537 359.287904 
0.202521 6490.782561 122.804186 118.945517 35.760653 1858.828559 274.381658 52.097124 103.806680 280.014903 342.635355 
0.207521 6255.302200 121.894394 116.579455 34.415002 1768.487381 260.139520 44.851907 97.606861 284.192594 328.027868 
0.212519 6033.253789 113.047607 114.605162 32.385956 1696.632793 245.120321 36.719414 92.941582 271.404997 302.647467 
0.217516 5828.578582 109.767763 110.747089 30.827785 1630.258643 239.187800 43.527892 90.092728 273.506899 300.327105 
0.222520 5630.447772 105.047953 109.271611 30.468637 1551.798570 233.995456 38.250449 87.574457 277.294971 282.161226 
0.227519 5449.646513 101.355471 105.184113 28.177846 1466.606036 216.927247 37.136058 82.348297 255.483408 266.305253 
0.232519 5280.982467 93.950006 103.574864 27.495600 1394.429431 204.127712 36.176412 77.988174 249.537994 255.639625 
0.237518 5125.847399 92.390669 101.336945 26.314391 1313.491534 195.290014 37.254148 76.969332 248.907214 247.193484 
0.242516 4970.733030 90.065434 103.148440 25.386381 1248.553348 192.379949 26.804304 73.312479 252.809863 229.806310 
0.247516 4824.937937 85.361598 98.851837 24.949169 1187.173215 181.832903 29.108818 69.775561 244.319771 225.141445 
0.252515 4695.673664 80.917909 97.694725 23.997750 1119.682527 171.072523 30.308725 68.229986 246.346851 218.373899 
0.257513 4567.157745 82.390967 97.777802 22.488017 1047.934215 170.296799 23.768809 65.598136 231.253342 213.642858 
0.262516 4441.838106 76.872304 97.578695 22.018476 993.891978 166.073345 22.970826 64.430925 224.420849 204.028138 
0.267517 4324.926634 73.663589 95.158206 21.210051 936.162085 156.013794 24.135377 60.509168 230.056940 199.817372 
0.272515 4214.636415 71.313652 96.502938 20.862239 883.206978 153.289523 19.115915 58.548612 235.750556 188.285635 
0.277515 4109.933230 71.081490 94.177918 20.349402 836.707151 145.261389 18.532095 56.990875 235.290861 188.320787 
0.282513 4011.566016 68.999117 94.258017 19.415831 792.363697 139.625592 16.475121 55.619057 231.253050 174.480382 
0.287514 3917.250865 64.269201 92.980036 18.810265 742.472681 134.271581 16.640831 54.517485 234.103274 168.419797 
0.292512 3833.117848 63.718187 92.398052 18.464611 699.746257 130.132293 14.089675 52.300766 235.762767 166.030335 
0.297514 3754.810299 63.574511 90.919549 17.706619 652.490052 130.010510 15.369217 50.760656 233.596411 158.283790 
