s P_0(k) sigma_{P_0} P_1(k) sigma_{P_1} P_2(k) sigma_{P_2} P_3(k) sigma_{P_3} P_4(k) sigma_{P_4}
0.005902 61018.439788 17988.978862 -2249.893206 7214.161905 10432.837257 26509.021913 -1194.566396 21543.324256 3455.455457 11073.189204 
0.012832 67946.931740 8008.843411 613.619517 2297.751771 16361.263366 15465.173172 1885.876701 8928.955497 -824.673669 16011.216426 
0.020509 67568.248435 5748.572631 1591.277173 1467.498457 22455.450761 11414.214528 1309.190188 4577.449027 -1331.157370 13819.400177 
0.028341 57531.889091 2984.561574 1893.007405 816.782435 20585.172437 7667.172566 1312.482340 2811.680229 -1210.116551 8955.523492 
0.036280 47620.368011 2191.553954 1332.251579 597.977993 17973.096934 4700.622659 1475.689853 1815.803162 747.220623 6177.866968 
0.044244 39982.509553 1644.785524 1090.934589 421.772832 15366.055238 3262.239847 972.435612 1095.805551 785.448688 4407.732490 
0.052197 34258.951386 1091.536700 702.773059 323.164840 13380.077462 2464.633017 749.433226 816.048380 743.199318 3169.268378 
0.060153 30804.943009 897.772832 524.070140 236.414829 11414.114850 2086.058129 536.951834 680.668410 591.111535 2594.905766 
0.068134 27783.488716 668.927806 518.022990 190.803788 10037.751719 1843.029854 406.818410 519.986898 344.541121 2055.029174 
0.076134 24603.836310 519.777825 504.589110 147.925543 8810.213484 1254.687479 397.917389 448.232676 580.611820 1468.280833 
0.084117 21389.595675 458.112881 491.858826 120.787924 7490.225300 1052.706566 240.235560 350.093882 365.084759 1347.341679 
0.092104 18518.222534 373.090144 414.764525 100.789339 6529.264593 819.308450 224.727707 269.009706 171.750640 1048.931113 
0.100104 16286.352939 289.959162 321.867748 75.563750 5673.123653 736.765494 190.307663 242.839105 373.252230 856.679914 
0.108091 14640.022503 256.851889 237.813855 60.621572 5005.352708 582.608924 171.510790 196.550163 420.471467 735.397401 
0.116091 13510.175642 229.030268 208.022524 52.685841 4444.406348 466.060947 129.760788 171.164067 367.766542 696.185074 
0.124085 12530.413560 189.391728 183.232616 50.719687 3867.085041 437.316679 124.869228 156.220592 385.561190 661.674534 
0.132068 11644.210169 187.704008 187.534916 45.686294 3447.638628 391.360166 90.760663 129.157638 350.308106 549.788192 
0.140071 10689.087570 173.960490 191.883858 41.305910 3141.533285 328.955674 78.048462 116.827420 337.736324 399.842904 
0.148075 9766.862183 138.226974 183.299645 34.788195 2817.542424 272.729209 63.061070 103.723937 340.873617 422.525011 
0.156073 8951.012703 134.869133 159.571354 29.138917 2552.250720 265.908084 48.459748 96.304085 294.046476 314.336102 
0.164063 8260.777063 117.851882 139.181769 28.654099 2310.414007 250.744324 56.593016 86.386285 275.026495 254.380626 
0.172055 7747.278237 110.116554 127.401653 23.040875 2061.784060 228.262966 43.523215 79.176888 283.497347 251.361403 
0.180056 7287.521366 100.726120 126.091802 21.934270 1878.617693 171.519248 35.108287 64.495027 266.466195 260.630241 
0.188055 6854.245860 85.283010 113.326186 19.799481 1661.205106 158.174714 48.968810 54.582510 290.795498 242.449702 
0.196051 6468.572519 81.739084 115.810602 20.055477 1445.275876 188.934368 29.388250 60.186749 296.549558 219.437041 
0.204053 6078.291178 70.491108 115.559977 20.013766 1261.813196 138.170466 16.786011 60.111100 265.545891 221.411355 
0.212048 5711.446541 62.318194 109.885653 17.528851 1147.044483 160.944791 12.334393 56.518473 256.751560 168.137688 
0.220046 5394.853291 63.022882 105.274425 14.636745 1051.853501 124.971623 13.530755 47.686841 227.463949 167.148805 
0.228044 5098.966046 58.069141 101.102011 14.449897 912.896412 126.128600 12.738079 41.618832 215.504263 152.299262 
0.236043 4848.216581 51.200387 100.128562 14.966789 806.344319 119.351517 12.539909 43.893894 214.637031 138.005890 
0.244041 4597.371300 54.753165 93.985381 13.505255 695.874367 112.187376 8.002797 42.237955 218.223023 147.631421 
0.252042 4397.939991 52.278334 94.001152 13.311504 593.820956 107.717437 1.062099 37.962666 200.500425 134.192145 
0.260040 4193.396239 44.184625 93.774568 10.966836 505.424279 99.334927 6.548425 32.589045 175.734854 107.490029 
0.268036 4011.025839 47.816484 90.944198 11.260268 413.858405 88.797387 -1.913360 30.573197 178.866066 117.537730 
0.276036 3844.560648 44.754417 91.776041 9.977735 352.832199 97.294272 -3.116626 29.206376 177.517522 106.966182 
0.284034 3686.649867 41.051142 90.532734 10.462165 280.412164 79.525465 -4.654488 32.092231 180.714594 100.742663 
0.292035 3550.523965 37.606686 88.220853 8.882798 219.592868 77.482885 -4.314784 30.793868 163.352275 104.112921 
