s P_0(k) sigma_{P_0} P_1(k) sigma_{P_1} P_2(k) sigma_{P_2} P_3(k) sigma_{P_3} P_4(k) sigma_{P_4}
0.005902 65839.335791 28862.650124 -6062.452243 8382.450262 -12698.504028 33883.405154 -13995.492676 22502.675827 3470.848250 13941.508555 
0.012832 71158.549092 12947.199676 765.062399 3634.505142 8974.981850 26559.619336 -2864.392924 12182.176854 939.581931 23723.053527 
0.020509 66744.337881 7910.141658 1620.961701 1837.451727 16088.460354 17709.444504 1161.613215 6466.617877 -560.507006 16274.727269 
0.028341 56786.838971 4879.097790 1805.874782 1236.284828 19273.103990 12384.336000 1802.335711 3850.775873 695.364878 12399.524362 
0.036280 47839.725511 3087.999766 1385.513204 890.086112 16684.465159 7813.895701 1067.727335 2573.165622 392.705730 10950.399252 
0.044244 39877.560232 2175.775601 989.714471 534.509105 13904.201584 5433.419112 1214.399221 1657.014749 -284.630502 6908.714978 
0.052197 34663.754166 1728.047428 765.687888 379.840564 12367.889652 3703.624570 710.627707 1215.282399 894.536652 5163.779305 
0.060153 30796.238681 1442.564433 516.610627 308.211390 10802.138829 3199.969758 726.032133 1008.048741 468.229830 3518.370853 
0.068134 27873.358293 1079.672938 533.711587 231.928378 9518.550235 2732.064043 385.682776 750.195488 304.327453 3467.405176 
0.076134 24686.306878 766.637525 495.115821 185.604551 8383.937101 1626.692339 410.557277 580.031500 89.165146 2140.213963 
0.084117 21637.957579 779.897724 474.671297 165.587767 7185.191015 1550.212659 421.608092 380.752920 253.000843 2051.683581 
0.092104 18731.907770 593.372108 420.631951 127.034701 6072.509709 1219.539006 235.869709 360.435759 137.940996 1764.952299 
0.100104 16455.190435 462.233858 326.293539 92.064096 5478.991996 1107.502449 219.099288 321.674316 316.307927 1250.071541 
0.108091 14922.568545 429.313697 253.558588 73.485927 4931.605308 932.257627 210.712530 234.279404 380.285359 1247.309123 
0.116091 13638.404207 365.217674 206.454979 70.091824 4218.313006 770.253957 174.937679 254.758866 293.267127 956.910725 
0.124085 12667.423779 294.075819 197.274611 66.199380 3885.750108 670.947207 131.122318 224.909068 180.101696 931.013570 
0.132068 11759.605345 260.060701 185.869560 60.569100 3389.692312 637.923060 131.201731 206.591511 331.846378 754.609508 
0.140071 10792.503180 233.207664 193.334074 49.911103 3039.577340 587.503110 104.437923 159.486199 269.242814 726.772337 
0.148075 9906.408723 202.691823 181.042734 47.799281 2822.238367 434.032423 69.963167 130.701674 317.536169 649.332603 
0.156073 9108.484488 195.265062 167.945752 43.243391 2562.606995 385.224660 88.516163 125.174755 244.675909 535.208059 
0.164063 8415.898688 168.458420 143.651629 36.084739 2290.626687 422.667828 74.620008 109.292986 265.587285 471.310546 
0.172055 7852.312162 161.844656 130.890829 37.292060 2068.369989 334.473751 72.982054 113.155339 251.327898 429.554435 
0.180056 7388.559143 151.049190 122.853091 28.685808 1851.670592 409.920822 57.392305 84.362190 288.816147 429.435664 
0.188055 6960.326702 118.836347 119.438951 29.488145 1628.832324 273.329665 55.554799 79.103315 241.849615 354.124608 
0.196051 6573.919077 121.032306 116.952560 26.489582 1435.286324 239.291128 50.282892 69.178840 336.444032 326.366237 
0.204053 6150.201425 109.294324 116.464156 24.831666 1225.542567 245.119542 34.710517 78.040595 230.233382 342.825303 
0.212048 5804.206464 89.745367 110.308295 22.614660 1131.650935 221.339052 23.844606 72.510801 235.273979 302.683244 
0.220046 5463.097270 87.490469 109.492216 19.990306 1011.141023 214.315531 29.544594 61.460550 228.402843 303.127636 
0.228044 5189.097248 100.627754 101.604650 18.740272 883.525164 216.842987 23.821673 56.773774 200.082467 220.726062 
0.236043 4910.065263 88.336492 103.093371 20.035897 760.079003 161.336463 18.179214 54.950822 170.720346 226.833212 
0.244041 4655.191750 66.769928 98.500918 18.756537 656.158133 165.250364 21.071232 50.305233 186.447562 214.611368 
0.252042 4427.733522 73.776508 95.954444 17.240676 574.409074 149.811548 14.429743 46.663705 188.092956 222.447997 
0.260040 4237.666114 71.224238 92.849933 16.580915 459.026464 158.489709 16.337687 48.606118 186.807300 187.452884 
0.268036 4056.087480 64.262945 93.430892 13.945440 377.684007 139.826286 12.005464 46.703052 216.068604 178.530695 
0.276036 3890.247903 69.287206 91.438973 14.303380 308.938053 134.646850 5.421820 44.361398 223.629168 166.400915 
0.284034 3717.658143 61.435810 95.069869 11.479688 233.687399 121.341543 0.105076 33.757996 200.042772 154.253629 
0.292035 3576.022838 56.889883 87.667409 13.473282 184.506251 117.596098 6.501690 39.040751 221.239338 163.789489 
