### header ###
fiducial parameters:
Omega_m = 0.31
Omega_nu = 0
Omega_de = 0.69
Omega_k = 0
H_0 = 100
w_de = -1
zeff = 0
beta = 0
fgrowth = 0
b_1 = 2
gamma = 0.55
Lx = 5000 Ly = 5000 Lz = 5000
nx = 600 ny = 600 nz = 600
xoffset = -982.047 yoffset = -47.9468 zoffset = 798.097
bins = 300 dk = 0.001
kx_ny = 0.376991 ky_ny = 0.376991 kz_ny = 0.376991
############################
A(data) = 8.9751 (not used)
A(ran) = 8.9771 (used)
Ngal = 435761
weighted Ngal = 467524
Nran = 22769125
weighted Nran = 2.27691e+07
SN(data) = 6136.32
SN(ran) = 126.024
SN(data+ran) = 6262.34
############################
9 columns: k_central k_mean P_0(k) P^img_1(k) P_2(k) P^img_3(k) P_4(k) sigma^{lin}_{P(k)} N_modes
### header ###
0.0005 0 0 0 0 0 0 0 0
0.0015 0.00160365 193265 -58533.5 41904.7 100013 99389.4 153544 9
0.0025 0.00262975 151768 80501.1 15325.6 -58130.8 123572 96155.9 19
0.0035 0.00361107 94847.8 27032.2 60721 26942.6 67628.6 53995.6 45
0.0045 0.00451235 96456.3 -17039 46486.5 72269.5 -33030.8 50453 52
0.0055 0.00550002 108334 -21472.9 10288.2 67468 -2471.04 36664.5 105
0.0065 0.00656173 114925 777.567 -16265 26469.6 13889.5 32425.5 139
0.0075 0.00751145 113640 3076.48 -11377.4 -18461.3 7439.18 30802.5 153
0.0085 0.00849615 99336.4 20941.7 14156.6 -50699.9 2138.41 23054.4 253
0.0095 0.00951206 77153.1 20243.2 36067 -26898.2 17296.7 20737.6 276
0.0105 0.0105054 56259.3 3835.34 30766.7 13165.9 4400.68 17323.3 349
0.0115 0.011559 59800.5 -5994.23 24795.2 26385.9 3874.4 15075 471
0.0125 0.0125983 63484.7 -3194.19 4206.17 19800.7 6097.08 15148.6 477
0.0135 0.0135178 67262.3 -4360.76 -2683.39 981.018 15019.6 14632.3 523
0.0145 0.014486 68702.7 811.679 -6228.96 -2872.69 5734.18 12793.9 690
0.0155 0.0155344 68324.8 1968.76 -1729.3 -18781 -477.994 11920.7 793
0.0165 0.0165377 66535.4 3977.29 4078.46 -10521.3 757.054 11500.2 843
0.0175 0.0175152 64620.7 -1609.34 9548.01 1321.82 -11857.7 10776.7 949
0.0185 0.0184887 68706.7 -1685.03 17421.2 899.945 -11203.8 10327.3 1059
0.0195 0.0194872 66413.1 2728.28 13961 -823.159 -7527.17 9501.7 1234
0.0205 0.0205055 65372 2960.59 21240.8 -2134.16 -2310.17 9106.71 1335
0.0215 0.0215274 64741.7 812.169 25250.9 3027.98 -1365.77 8538.06 1513
0.0225 0.0225206 60066 4050.5 25681.2 -525.889 460.477 8314.09 1551
0.0235 0.0234887 57390.5 2990.52 28476.4 1988.79 11515.4 7920.89 1681
0.0245 0.0244871 56501.1 696.859 30029.2 1627.7 7567.69 7289.42 1974
0.0255 0.0255182 54272.9 4328.45 34523.7 -1665.34 1152.22 7013.72 2103
0.0265 0.0265409 47925.2 3555.19 32523.3 -4148.35 6176.53 6601.59 2281
0.0275 0.0275236 46901 546.405 35324.1 2677.47 5716.12 6594.62 2271
0.0285 0.0285018 47590 -1622.71 31089 9912.74 4759.78 6185.12 2593
0.0295 0.0295097 47068.6 -730.735 23749.2 6588.12 5507.14 5959.3 2784
0.0305 0.0304968 49582.3 30.0079 22371.6 187.723 3441.58 5942.2 2845
0.0315 0.0314833 46798 2217.89 21475.2 -1200.26 6717.52 5616.34 3129
0.0325 0.0324995 45812.1 -517.768 19701.4 5492.07 8654.02 5321.88 3463
0.0335 0.0335076 48502.4 -2526.29 16195.5 5456.84 3812.71 5329.26 3513
0.0345 0.0344993 49208.5 494.607 11612.3 -928.685 1660.11 5171.02 3748
0.0355 0.0354943 48170.7 1455.81 12148.7 -2570.9 399.162 5008.51 3969
0.0365 0.0365015 46123.6 1492.71 12369.5 -321.836 2975.25 4787.91 4287
0.0375 0.0375128 44517.7 1190.27 14345 1426.72 -2884.09 4654.98 4489
0.0385 0.0385007 43039.7 2128.27 17987.7 -1611.21 -1242.6 4601.25 4551
0.0395 0.0394922 40032 2122.91 16331.4 -1884.67 1154.42 4346.39 5002
0.0405 0.040498 38531.4 564.135 17308.3 1848.07 983.809 4249.8 5181
0.0415 0.0414996 37517.3 887.914 16948.4 2931.82 1260.34 4118.91 5479
0.0425 0.0425076 36636.9 337.817 15765.8 2706.48 3590.02 4002.46 5769
0.0435 0.0434957 36396.5 -16.205 14770 3341.77 4154.05 3975.25 5839
0.0445 0.0444851 37268.6 -783.727 12722 2098.69 4536.69 3839.86 6294
0.0455 0.0454959 37324.8 140.181 11907.3 444.627 4028.2 3738.32 6643
0.0465 0.046507 36627.7 388.545 10924.8 170.965 3916.34 3663.64 6885
0.0475 0.0475122 36315.3 863.598 11195.4 -1011.88 3000.16 3584.65 7177
0.0485 0.0484973 34865 1183.42 12839.5 -1284.33 3723.17 3552.95 7236
0.0495 0.0494906 34081.4 1187.61 13716.2 -852.604 3651.95 3398.22 7869
0.0505 0.0505067 33047.9 -202.163 12907.4 1117.81 1763.45 3319.34 8191
0.0515 0.0515075 33140.9 706.151 12922.3 558.977 727.641 3298.29 8301
0.0525 0.0524969 32461.7 731.771 12227.2 179.952 3504.54 3226.56 8635
0.0535 0.0534964 31865.7 -343.33 10769 1688.6 2674.68 3122.08 9186
0.0545 0.0545065 32138.1 -188.918 10679.3 705.96 -97.9053 3078.85 9463
0.0555 0.0554978 31732.4 903.415 9621.25 0.644037 -1283.62 3072.4 9477
0.0565 0.0565002 31072.3 483.827 9895.68 139.544 -75.2822 2922.35 10429
0.0575 0.0575117 30688 76.6691 9856.02 1126.65 -547.545 2921.67 10407
0.0585 0.0584975 30612.9 12.0806 9145.47 821.408 -1399.02 2886.88 10654
0.0595 0.0594941 30488.1 146.819 8707.09 266.472 -2304.79 2802.59 11295
0.0605 0.0605048 29955.8 1113.87 9256.97 -932.062 -972.401 2748.62 11701
0.0615 0.0615084 28961.1 535.098 10739.3 276.107 -652.62 2710.17 11955
0.0625 0.0625007 28545.9 368.473 10366.6 1001.65 1352.08 2676.32 12225
0.0635 0.0634839 28610.5 -623.397 9947.13 2465.72 575.957 2647.08 12502
0.0645 0.0644966 28952.1 617.005 10125.8 -551.152 -215.035 2528.75 13731
0.0655 0.0655208 28051.9 735.152 10351 -977.216 1562.94 2526.78 13669
0.0665 0.0665163 27895.2 -230.898 9417.59 1067.96 2447.03 2514.25 13791
0.0675 0.0675026 28619.4 -578.894 8903.5 1219.32 -7.17221 2474.72 14305
0.0685 0.0685029 28347.1 785.229 8351.08 -1530.63 -487.69 2413.52 15012
0.0695 0.0695101 27722.3 449.251 8089.8 -489.13 -7.09101 2383.7 15325
0.0705 0.0705072 26639.5 610.322 7994.12 726.629 -1095.55 2354.6 15591
0.0715 0.0715008 25965 615.223 8510.52 -357.238 -1868.73 2311.41 16105
0.0725 0.0725026 25251.2 941.339 9081.1 -17.7301 -1786.95 2253.77 16857
0.0735 0.0735052 24680.5 19.5046 8399.4 997.853 -1662.83 2240.42 16992
0.0745 0.0745065 24904.6 -111.493 8159.48 742.862 -3095.9 2196.78 17701
0.0755 0.0755112 24291.2 530.52 8345.04 -1603.4 -2915.35 2167.93 18099
0.0765 0.0765054 23523 737.903 8484.85 -955.146 -988.862 2151.66 18277
0.0775 0.0774994 23383.9 201.738 8203.86 1434.32 -105.318 2105.39 19071
0.0785 0.0784956 23152.2 -309.308 7845.74 2009.31 -724.05 2089.57 19330
0.0795 0.0794981 23498.5 210.256 7119.32 775.551 474.935 2046.26 20205
0.0805 0.0805053 23021.4 176.25 6813.1 462.297 1435.99 2021.51 20635
0.0815 0.0815026 22625.6 513.066 6900.75 -442.685 2042.02 2009.91 20817
0.0825 0.0824987 22146.6 503.815 6664.32 286.687 3135.76 1968.47 21631
0.0835 0.0834991 21345.1 363.76 6165.71 170.397 2851.96 1944.81 22038
0.0845 0.0845015 21085.6 385.865 6727.42 257.177 2797.91 1914.56 22699
0.0855 0.0855033 20467.2 481.006 6324.33 503.993 3967.71 1892.45 23133
0.0865 0.0865031 19936.3 325.18 6216.77 96.1305 3439.88 1865.64 23715
0.0875 0.0874952 19799.8 327.986 6253.83 -248.625 3032.76 1861.07 23809
0.0885 0.0884917 19280.8 185.174 5810.97 185.474 3475.54 1808.94 25110
0.0895 0.0895049 19547 -177.048 5793.79 791.017 2295.27 1791.42 25651
0.0905 0.0905061 19080.9 610.592 5320.79 -428.614 1774.46 1785.52 25737
0.0915 0.091502 18684.1 465.576 5857.3 -958.33 1796.25 1756.3 26527
0.0925 0.0925065 18063.4 393.174 6713.51 -282.046 1644.98 1727.97 27285
0.0935 0.093509 17786.2 147.658 6234.95 97.3203 747.848 1713.68 27688
0.0945 0.094506 17990.1 -338.483 6099.01 1128.1 441.275 1704.08 28041
