### header ###
fiducial parameters:
Omega_m = 0.31
Omega_nu = 0
Omega_de = 0.69
Omega_k = 0
H_0 = 100
w_de = -1
zeff = 0
beta = 0
fgrowth = 0
b_1 = 2
gamma = 0.55
Lx = 5000 Ly = 5000 Lz = 5000
nx = 600 ny = 600 nz = 600
xoffset = 1383.5 yoffset = 32.0583 zoffset = 357.098
bins = 300 dk = 0.001
kx_ny = 0.376991 ky_ny = 0.376991 kz_ny = 0.376991
############################
A(data) = 3.31561 (not used)
A(ran) = 3.31569 (used)
Ngal = 158267
weighted Ngal = 169914
Nran = 8008456
weighted Nran = 8.00846e+06
SN(data) = 6203.11
SN(ran) = 131.652
SN(data+ran) = 6334.76
############################
9 columns: k_central k_mean P_0(k) P^img_1(k) P_2(k) P^img_3(k) P_4(k) sigma^{lin}_{P(k)} N_modes
### header ###
0.0005 0 0 0 0 0 0 0 0
0.0015 0.00160365 14691.4 -19208.4 -8713.37 -13390.3 -7724.11 250120 9
0.0025 0.00262975 35431.7 -14393.9 -24946.5 -23719.5 6463.37 176902 19
0.0035 0.00361107 40845.6 -1536.75 -12535.8 -40443 1946.3 115756 45
0.0045 0.00451235 40884.2 2640.95 7872.33 -30422.9 -4930.69 107688 52
0.0055 0.00550002 35828.1 4501.25 6167.62 -17671.1 -5710.46 75290.3 105
0.0065 0.00656173 35252 -3823.31 11977.2 -1924.19 -9156.31 65388.6 139
0.0075 0.00751145 46340.6 -13053.9 7030.13 9750.8 -21451.3 63221.6 153
0.0085 0.00849615 70529.7 -18473.5 -10596.7 2712.89 -36206.6 50685.2 253
0.0095 0.00951206 87742.8 -10738.8 -7425.63 -13532.5 -35655.9 49563.5 276
0.0105 0.0105054 94337.3 -1861.15 -6299.18 -22428.4 -29811 44429.2 349
0.0115 0.011559 99631 6800.46 9063.22 -29967.9 -41042.8 38488.5 471
0.0125 0.0125983 87375.4 12819.1 30046.9 -26925.6 -38684.4 37684.6 477
0.0135 0.0135178 78121.2 13307 49314.6 -16798.5 -45299.5 35584.5 523
0.0145 0.014486 66242.6 9014.9 60703.3 -722.052 -27701.7 30528.2 690
0.0155 0.0155344 58762.9 -150.721 58434.8 16717.1 -11771 28211.1 793
0.0165 0.0165377 60994.2 -1843.34 47511 20096.1 -9636.76 27438.5 843
0.0175 0.0175152 63499.1 -49.9053 38175.4 15153 3777.96 25942.1 949
0.0185 0.0184887 63103.8 1542.51 29962.8 13675.4 14760.5 24545.7 1059
0.0195 0.0194872 61413.6 -1024.04 25390.4 13682.3 26861.3 22690.6 1234
0.0205 0.0205055 62915.3 -2287.27 20269.9 12964 26354.4 21856.4 1335
0.0215 0.0215274 62079.8 -158.767 17139 4751.52 18941.4 20509.1 1513
0.0225 0.0225206 61403.4 1344.39 10682 2324.32 14012.6 20239.1 1551
0.0235 0.0234887 63716.9 -1310.63 10790.1 -5.83371 7476.28 19497.2 1681
0.0245 0.0244871 64692 -348.514 9803.82 -3457.56 -4119.73 18014.1 1974
0.0255 0.0255182 63228.4 1730.08 10545.7 -8147.15 -9539.62 17420.9 2103
0.0265 0.0265409 60699 2209.45 10570 -7167.27 -17056.5 16674.4 2281
0.0275 0.0275236 59908.3 913.712 16056.2 -1584.53 -18351.7 16694.5 2271
0.0285 0.0285018 58922.8 -329.262 13155 2199.59 -22140.7 15604.2 2593
0.0295 0.0295097 59498.2 -1358.84 9968.09 4894.51 -21671.9 15070.3 2784
0.0305 0.0304968 58912.8 296.158 5487.65 1071.11 -18668.5 14896.9 2845
0.0315 0.0314833 58232.6 2103.51 6127.74 -2467.9 -17275.9 14192.6 3129
0.0325 0.0324995 54602.3 3050.23 7400 -5134.2 -17628.5 13429.2 3463
0.0335 0.0335076 51505.5 1688.51 8727.13 -2750.26 -16651.3 13281 3513
0.0345 0.0344993 48981.1 2534.92 8261.23 -2293.6 -19015 12816.7 3748
0.0355 0.0354943 44296.2 3747.92 12271.8 -2205.73 -14067.4 12380.4 3969
0.0365 0.0365015 40808.3 2825.58 14554.9 1029.38 -12668.1 11859.1 4287
0.0375 0.0375128 37832.4 780.811 13795.1 2651.91 -11067.4 11544.8 4489
0.0385 0.0385007 37693.2 17.6806 12861.6 1739.31 -11405 11463.8 4551
0.0395 0.0394922 37775.5 341.851 12183.4 -862.515 -7633.11 10936 5002
0.0405 0.040498 37177.4 763.87 12974.9 -795.389 -6443.95 10737.1 5181
0.0415 0.0414996 36813.1 -168.06 12958.4 1772.03 -4631.71 10436.1 5479
0.0425 0.0425076 39285 -889.901 13735.5 3661.9 -4346.32 10202.9 5769
0.0435 0.0434957 39596.7 -288.06 12403.9 2247.33 -701.47 10145.7 5839
0.0445 0.0444851 39042.7 574.394 12412.2 1186.86 4081.02 9765.09 6294
0.0455 0.0454959 37968.7 1867.06 13987.4 972.92 7045.4 9491.94 6643
0.0465 0.046507 35260.3 2019.24 14542.3 957.124 10637.4 9290.99 6885
0.0475 0.0475122 33588.9 1133.01 15909 2198.54 13601.8 9080.29 7177
0.0485 0.0484973 32329.9 371.972 15401.6 3102.64 15379.1 9028.4 7236
0.0495 0.0494906 31804.6 53.9583 13169.6 2438.83 14026.8 8651.73 7869
0.0505 0.0505067 31886.8 -37.0857 12133.8 1550.4 15629.8 8480.88 8191
0.0515 0.0515075 32465 -723.769 11631.2 1850.4 14992.3 8430.85 8301
0.0525 0.0524969 33706.6 -776.31 8971 1789.54 12103.4 8279.55 8635
0.0535 0.0534964 34066.1 -306.56 8472.16 567.204 10731 8031.15 9186
0.0545 0.0545065 33858.9 816.794 8581.1 -1961.68 7206.26 7910.6 9463
0.0555 0.0554978 32934.1 1385.68 10256.2 -3333.47 5808.62 7895.25 9477
0.0565 0.0565002 31456.2 1143.29 12449.1 -1805.63 3449.27 7511.81 10429
0.0575 0.0575117 30451.7 499.097 12926.8 -634.114 1837.06 7509.89 10407
0.0585 0.0584975 30580.6 -85.6642 13742.9 1533.98 1298.05 7423.58 10654
0.0595 0.0594941 30871.4 -107.152 12660.3 1736.33 1225.19 7212.59 11295
0.0605 0.0605048 30866.7 370.859 12522.2 133.734 635.891 7086.31 11701
0.0615 0.0615084 30132.2 690.966 13708.3 -491.315 1450.46 7003.91 11955
0.0625 0.0625007 29507.4 359.045 12516.2 -379.662 1096.4 6920.49 12225
0.0635 0.0634839 29309.5 144.177 13093.2 726.694 1297.54 6841.62 12502
0.0645 0.0644966 29214.9 107.948 12116.9 951.664 1755.2 6527.45 13731
0.0655 0.0655208 28957.7 308.13 11730.4 1111.14 1206.13 6540.04 13669
0.0665 0.0665163 28712.8 249.206 10693.5 494.582 735.512 6508.96 13791
0.0675 0.0675026 28083.9 450.454 9867.2 -19.0782 -805.96 6385.7 14305
0.0685 0.0685029 27757.7 487.139 9705.9 -303.592 -630.414 6230.85 15012
0.0695 0.0695101 27039.7 391.936 9009.41 605.773 -261.645 6161.09 15325
0.0705 0.0705072 26834.3 130.368 8565.22 1060.04 -1110.52 6106.67 15591
0.0715 0.0715008 26384.6 331.609 7747.1 469.536 -1466.93 6004.88 16105
0.0725 0.0725026 25802.4 678.763 7933.29 -678.919 -2912.81 5864.93 16857
0.0735 0.0735052 24751.3 843.565 8897.06 -1460.32 -2273.18 5833.52 16992
0.0745 0.0745065 24291.4 348.828 9730.66 -341.041 -2449.27 5712.04 17701
0.0755 0.0755112 23925.6 312.925 10081 -62.6053 -2742.3 5646.17 18099
0.0765 0.0765054 23826.4 387.285 10578.7 258.837 -2149.71 5617.88 18277
0.0775 0.0774994 23438.5 341.213 10194.9 693.236 -2213.57 5496.88 19071
0.0785 0.0784956 23026.9 72.5194 10241.2 1562.91 -565.398 5456.97 19330
0.0795 0.0794981 22850 212.685 9337.84 1330.28 -98.2451 5336.25 20205
0.0805 0.0805053 22422.2 507.659 8789.07 893.629 615.724 5277.38 20635
0.0815 0.0815026 22008.8 213.567 8941.28 848.686 2031.75 5251.4 20817
0.0825 0.0824987 21433.2 384.856 7866.61 283.635 1765.13 5147.73 21631
0.0835 0.0834991 21028.1 415.117 7500.65 340.543 3019.71 5097.24 22038
0.0845 0.0845015 20604.4 392.522 7508.21 350.256 2868.11 5019.67 22699
0.0855 0.0855033 19950.5 382.565 7431.74 176.566 2840.42 4968.06 23133
0.0865 0.0865031 19420.5 444.175 7622.95 76.9327 2163.35 4903.28 23715
0.0875 0.0874952 18995.3 413.699 7632.4 -77.2863 1926.66 4890.83 23809
0.0885 0.0884917 18499.5 244.322 7420.89 91.8518 1468.09 4759.32 25110
0.0895 0.0895049 18207.2 267.7 7192.53 314.584 1450.55 4707.03 25651
0.0905 0.0905061 17986.4 -14.9667 6533.42 454.133 636.481 4697.79 25737
0.0915 0.091502 18049.5 -75.131 5877.29 629.313 261.209 4627.69 26527
0.0925 0.0925065 18041.8 -46.9962 4961.35 691.7 -168.074 4562.91 27285
0.0935 0.093509 18070 -63.6501 4129.72 813.376 352.386 4529.75 27688
0.0945 0.094506 18197.7 -24.2131 3448.22 530.792 340.695 4501.91 28041
0.0955 0.095502 18065.1 115.983 3227.46 413.778 1049.33 4437.64 28849
0.0965 0.096505 17788.6 333.574 3141.59 -148.871 1006.73 4369.13 29739
0.0975 0.0974984 17358.2 474.56 3537.16 -445.323 1317.3 4384.73 29494
0.0985 0.0984988 17044.3 401.236 3949.01 -355.701 1310.86 4252.2 31335
0.0995 0.0995045 16897.1 155.887 4963.84 -353.578 1264.37 4265.69 31125
0.1005 0.100504 16725.3 210.945 5489.5 -133.046 610.522 4202.92 32047
0.1015 0.101504 16620 298.122 5461.47 -359.756 499.085 4165.71 32613
0.1025 0.1025 16455 271.858 5960.6 -473.088 473.618 4135.54 33076
0.1035 0.1035 16244.3 4.62839 6334.91 40.0067 -140.374 4076.08 34029
0.1045 0.104501 16193.2 207.554 6341.89 62.7819 -131.448 4045.01 34549
0.1055 0.105505 15981.3 223.408 5940.67 296.614 141.611 3986.03 35559
0.1065 0.10651 15729.5 105.741 5626.47 674.552 780.137 3962.8 35953
0.1075 0.107507 15601.5 115.725 5470.89 708.033 1168.73 3934.05 36468
0.1085 0.108504 15297.9 217.976 4926.12 390.413 955.268 3900.45 37069
0.1095 0.109509 15047 252.252 4862.45 87.8952 1150.49 3823.07 38559
0.1105 0.110512 14895.5 204.835 4916.2 84.6796 1398.86 3836.95 38265
0.1115 0.111503 14738.1 30.1449 4581.27 352.989 958.222 3794.53 39109
0.1125 0.112503 14757.5 8.56084 4382.56 316.24 655.444 3735.54 40356
0.1135 0.113504 14630.2 255.483 4365.26 -157.058 832.722 3723.25 40609
0.1145 0.114507 14397.1 326.24 4637.66 -139.791 1155.05 3665.05 41883
0.1155 0.115504 14073.1 150.328 4466.57 280.326 1124.37 3673.57 41653
0.1165 0.116496 13939 128.306 4252.38 134.272 462.494 3620.53 42867
0.1175 0.117493 13812.7 327.703 4320.15 -236.291 693.447 3587.63 43642
0.1185 0.118496 13460.5 219.465 4405 -346.14 925.784 3544.56 44667
0.1195 0.119501 13342.5 67.4384 4239.42 196.193 129.326 3514.47 45421
0.1205 0.120503 13344.1 -105.832 3658 605.065 -180.484 3492.1 46005
0.1215 0.121501 13411.4 -148.95 2973.1 681.671 -323.833 3473.06 46519
0.1225 0.122498 13608.8 -103.631 2434.82 509.986 -127.082 3434.38 47598
0.1235 0.123498 13696.4 121.749 2203.53 -25.9403 -326.256 3417.27 48087
0.1245 0.124503 13476.5 291.087 2214.41 -226.194 -249.724 3358.99 49741
0.1255 0.125508 13212.2 219.342 2504.3 -306.743 -191.068 3358.54 49719
